id,preco
13518783164498355150900635905895481162,2186.102106643677
299896161723793383246777788797566040330,2111.6372166610663
316180649972302128246133616457018378621,2153.055950510572
222527157104148385909188217274642813298,2171.150741435429
160460343059850745858546502614838368036,2095.450227814723
262727202368986244371977784343233436999,2024.3597288506653
254093764205800086330999281077926851120,2069.112292094983
26118184613036116787803832945215674478,2170.218992948495
216524630140335566712794225427064313,2041.9545264443195
185631381169816366226494379020452029389,2201.669460563523
193325654448132563278364141820152041311,2051.855482696171
238917637717691361625086479663492481749,1963.0257498359679
55430829679256880238551444522175018156,2073.910326168655
215317645068876070368783807654911699750,2156.321292729539
81597227204971961501733390453078413740,2021.6784403580668
144896666825908872755051834814298387194,2005.99615847953
184599608599423525451999366981389806783,2089.5950342712285
332523842755767369964829329030378044388,2112.538043116114
115343777354602647202140618045743635008,2082.280823092612
20757170217235469489036110086071917277,2133.1060103752397
185526399598537813925895625787601650168,2025.3987367253667
60658042813489826886245400795986219027,2066.7291941264566
252469656136469704862465423825396909961,2175.647284619118
144289133420257677937750963126363910239,1966.7829321547588
286704706212186527658783613441315754259,2134.0229076329642
104788498292328609834480593297039083847,2119.7947905240826
83091551517048057678460117003997132666,2180.6006262487144
253819240599250454081144283787356606601,2117.7975348039354
47552100267769170589122325402191982347,2120.204899604163
143932540867090135955180920741784357244,2167.9728568261535
196345985565471044954698780677909306202,2150.585589046972
244792708737468723430839923035345593106,2080.9430423499853
84589940414664494482357035061818012137,2099.841355908219
272199586960887794853261858460695880945,2059.5790264963925
49959439507026713714422386346459644032,2015.7900498756262
281026519311657672970881937258693325762,1986.2741871663602
93074564150014753673961081882123830374,2155.7183109495745
26728401390792884431172378844166640182,2176.1390819212975
188211565885838356078706489204052877949,1881.3057081599836
72487946181948797581370306862646034491,2156.0092215493532
228864048115975611203958077134700148633,2109.017705258372
112454259487642510247400972640243226784,2040.8934842647304
222663295482952330188872827964862490542,2008.6741470236102
174300102534868734265445704595501072047,2109.2195080655038
65616068149477861830943576277231644996,2021.8871348602534
12512429268260634755522419284910697215,2157.7167313574337
336344009530167442733355949279054127993,2046.759646327666
79522286518792634854353998912967788405,2157.4585326187535
82689802293775881487902613650793199776,2118.663859986067
145087209205382180995284342956932775590,2066.7193902947265
